Old IRI,New IRI
http://purl.obolibrary.org/obo/DRON_00010026,http://purl.obolibrary.org/obo/CHEBI_32034
http://purl.obolibrary.org/obo/DRON_00010027,http://purl.obolibrary.org/obo/CHEBI_27909
http://purl.obolibrary.org/obo/DRON_00010043,http://purl.obolibrary.org/obo/CHEBI_34247
http://purl.obolibrary.org/obo/DRON_00010059,http://purl.obolibrary.org/obo/CHEBI_9754
http://purl.obolibrary.org/obo/DRON_00010063,http://purl.obolibrary.org/obo/CHEBI_60652
http://purl.obolibrary.org/obo/DRON_00010065,http://purl.obolibrary.org/obo/CHEBI_9288
http://purl.obolibrary.org/obo/DRON_00010072,http://purl.obolibrary.org/obo/CHEBI_15355
http://purl.obolibrary.org/obo/DRON_00010081,http://purl.obolibrary.org/obo/CHEBI_2627
http://purl.obolibrary.org/obo/DRON_00010083,http://purl.obolibrary.org/obo/CHEBI_2654
http://purl.obolibrary.org/obo/DRON_00010084,http://purl.obolibrary.org/obo/CHEBI_17549
http://purl.obolibrary.org/obo/DRON_00010087,http://purl.obolibrary.org/obo/CHEBI_133809
http://purl.obolibrary.org/obo/DRON_00010111,http://purl.obolibrary.org/obo/CHEBI_5801
http://purl.obolibrary.org/obo/DRON_00010124,http://purl.obolibrary.org/obo/CHEBI_5959
http://purl.obolibrary.org/obo/DRON_00010143,http://purl.obolibrary.org/obo/CHEBI_53766
http://purl.obolibrary.org/obo/DRON_00010150,http://purl.obolibrary.org/obo/CHEBI_2401
http://purl.obolibrary.org/obo/DRON_00010153,http://purl.obolibrary.org/obo/CHEBI_83168
http://purl.obolibrary.org/obo/DRON_00010157,http://purl.obolibrary.org/obo/CHEBI_16664
http://purl.obolibrary.org/obo/DRON_00010158,http://purl.obolibrary.org/obo/CHEBI_55313
http://purl.obolibrary.org/obo/DRON_00010161,http://purl.obolibrary.org/obo/CHEBI_763
http://purl.obolibrary.org/obo/DRON_00010164,http://purl.obolibrary.org/obo/CHEBI_94316
http://purl.obolibrary.org/obo/DRON_00010167,http://purl.obolibrary.org/obo/CHEBI_31189
http://purl.obolibrary.org/obo/DRON_00010174,http://purl.obolibrary.org/obo/CHEBI_24564
http://purl.obolibrary.org/obo/DRON_00010189,http://purl.obolibrary.org/obo/CHEBI_51208
http://purl.obolibrary.org/obo/DRON_00010191,http://purl.obolibrary.org/obo/CHEBI_145698
http://purl.obolibrary.org/obo/DRON_00010195,http://purl.obolibrary.org/obo/CHEBI_32499
http://purl.obolibrary.org/obo/DRON_00010200,http://purl.obolibrary.org/obo/CHEBI_74821
http://purl.obolibrary.org/obo/DRON_00010226,http://purl.obolibrary.org/obo/CHEBI_61203
http://purl.obolibrary.org/obo/DRON_00010237,http://purl.obolibrary.org/obo/CHEBI_38010
http://purl.obolibrary.org/obo/DRON_00010239,http://purl.obolibrary.org/obo/CHEBI_31233
http://purl.obolibrary.org/obo/DRON_00010251,http://purl.obolibrary.org/obo/CHEBI_575568
http://purl.obolibrary.org/obo/DRON_00010260,http://purl.obolibrary.org/obo/CHEBI_2968
http://purl.obolibrary.org/obo/DRON_00010261,http://purl.obolibrary.org/obo/CHEBI_553827
http://purl.obolibrary.org/obo/DRON_00010282,http://purl.obolibrary.org/obo/CHEBI_31263
http://purl.obolibrary.org/obo/DRON_00010285,http://purl.obolibrary.org/obo/CHEBI_34559
http://purl.obolibrary.org/obo/DRON_00010286,http://purl.obolibrary.org/obo/CHEBI_3023
http://purl.obolibrary.org/obo/DRON_00010295,http://purl.obolibrary.org/obo/CHEBI_3061
http://purl.obolibrary.org/obo/DRON_00010301,http://purl.obolibrary.org/obo/CHEBI_47612
http://purl.obolibrary.org/obo/DRON_00010337,http://purl.obolibrary.org/obo/CHEBI_3176
http://purl.obolibrary.org/obo/DRON_00010351,http://purl.obolibrary.org/obo/CHEBI_31305
http://purl.obolibrary.org/obo/DRON_00010354,http://purl.obolibrary.org/obo/CHEBI_31308
http://purl.obolibrary.org/obo/DRON_00010360,http://purl.obolibrary.org/obo/CHEBI_76119
http://purl.obolibrary.org/obo/DRON_00010367,http://purl.obolibrary.org/obo/CHEBI_135086
http://purl.obolibrary.org/obo/DRON_00010369,http://purl.obolibrary.org/obo/CHEBI_135227
http://purl.obolibrary.org/obo/DRON_00010392,http://purl.obolibrary.org/obo/CHEBI_31344
http://purl.obolibrary.org/obo/DRON_00010401,http://purl.obolibrary.org/obo/CHEBI_3362
http://purl.obolibrary.org/obo/DRON_00010402,http://purl.obolibrary.org/obo/CHEBI_31348
http://purl.obolibrary.org/obo/DRON_00010405,http://purl.obolibrary.org/obo/CHEBI_94806
http://purl.obolibrary.org/obo/DRON_00010407,http://purl.obolibrary.org/obo/CHEBI_3393
http://purl.obolibrary.org/obo/DRON_00010409,http://purl.obolibrary.org/obo/CHEBI_617099
http://purl.obolibrary.org/obo/DRON_00010413,http://purl.obolibrary.org/obo/CHEBI_3403
http://purl.obolibrary.org/obo/DRON_00010441,http://purl.obolibrary.org/obo/CHEBI_3510
http://purl.obolibrary.org/obo/DRON_00010446,http://purl.obolibrary.org/obo/CHEBI_124991
http://purl.obolibrary.org/obo/DRON_00010449,http://purl.obolibrary.org/obo/CHEBI_3559
http://purl.obolibrary.org/obo/DRON_00010480,http://purl.obolibrary.org/obo/CHEBI_134906
http://purl.obolibrary.org/obo/DRON_00010483,http://purl.obolibrary.org/obo/CHEBI_3698
http://purl.obolibrary.org/obo/DRON_00010488,http://purl.obolibrary.org/obo/CHEBI_3716
http://purl.obolibrary.org/obo/DRON_00010490,http://purl.obolibrary.org/obo/CHEBI_50867
http://purl.obolibrary.org/obo/DRON_00010495,http://purl.obolibrary.org/obo/CHEBI_18211
http://purl.obolibrary.org/obo/DRON_00010507,http://purl.obolibrary.org/obo/CHEBI_31413
http://purl.obolibrary.org/obo/DRON_00010508,http://purl.obolibrary.org/obo/CHEBI_135069
http://purl.obolibrary.org/obo/DRON_00010513,http://purl.obolibrary.org/obo/CHEBI_3749
http://purl.obolibrary.org/obo/DRON_00010515,http://purl.obolibrary.org/obo/CHEBI_135619
http://purl.obolibrary.org/obo/DRON_00010518,http://purl.obolibrary.org/obo/CHEBI_31424
http://purl.obolibrary.org/obo/DRON_00010520,http://purl.obolibrary.org/obo/CHEBI_31426
http://purl.obolibrary.org/obo/DRON_00010530,http://purl.obolibrary.org/obo/CHEBI_135820
http://purl.obolibrary.org/obo/DRON_00010538,http://purl.obolibrary.org/obo/CHEBI_31444
http://purl.obolibrary.org/obo/DRON_00010565,http://purl.obolibrary.org/obo/CHEBI_34665
http://purl.obolibrary.org/obo/DRON_00010566,http://purl.obolibrary.org/obo/CHEBI_135720
http://purl.obolibrary.org/obo/DRON_00010567,http://purl.obolibrary.org/obo/CHEBI_149634
http://purl.obolibrary.org/obo/DRON_00010568,http://purl.obolibrary.org/obo/CHEBI_119573
http://purl.obolibrary.org/obo/DRON_00010574,http://purl.obolibrary.org/obo/CHEBI_27478
http://purl.obolibrary.org/obo/DRON_00010577,http://purl.obolibrary.org/obo/CHEBI_31468
http://purl.obolibrary.org/obo/DRON_00010583,http://purl.obolibrary.org/obo/CHEBI_439329
http://purl.obolibrary.org/obo/DRON_00010595,http://purl.obolibrary.org/obo/CHEBI_30659
http://purl.obolibrary.org/obo/DRON_00010596,http://purl.obolibrary.org/obo/CHEBI_4474
http://purl.obolibrary.org/obo/DRON_00010597,http://purl.obolibrary.org/obo/CHEBI_94708
http://purl.obolibrary.org/obo/DRON_00010600,http://purl.obolibrary.org/obo/CHEBI_37945
http://purl.obolibrary.org/obo/DRON_00010601,http://purl.obolibrary.org/obo/CHEBI_101085
http://purl.obolibrary.org/obo/DRON_00010604,http://purl.obolibrary.org/obo/CHEBI_4527
http://purl.obolibrary.org/obo/DRON_00010608,http://purl.obolibrary.org/obo/CHEBI_4534
http://purl.obolibrary.org/obo/DRON_00010619,http://purl.obolibrary.org/obo/CHEBI_4591
http://purl.obolibrary.org/obo/DRON_00010623,http://purl.obolibrary.org/obo/CHEBI_64198
http://purl.obolibrary.org/obo/DRON_00010625,http://purl.obolibrary.org/obo/CHEBI_15553
http://purl.obolibrary.org/obo/DRON_00010632,http://purl.obolibrary.org/obo/CHEBI_4638
http://purl.obolibrary.org/obo/DRON_00010651,http://purl.obolibrary.org/obo/CHEBI_135226
http://purl.obolibrary.org/obo/DRON_00010655,http://purl.obolibrary.org/obo/CHEBI_17202
http://purl.obolibrary.org/obo/DRON_00010680,http://purl.obolibrary.org/obo/CHEBI_31528
http://purl.obolibrary.org/obo/DRON_00010688,http://purl.obolibrary.org/obo/CHEBI_135169
http://purl.obolibrary.org/obo/DRON_00010691,http://purl.obolibrary.org/obo/CHEBI_4788
http://purl.obolibrary.org/obo/DRON_00010692,http://purl.obolibrary.org/obo/CHEBI_157175
http://purl.obolibrary.org/obo/DRON_00010708,http://purl.obolibrary.org/obo/CHEBI_4868
http://purl.obolibrary.org/obo/DRON_00010713,http://purl.obolibrary.org/obo/CHEBI_31563
http://purl.obolibrary.org/obo/DRON_00010714,http://purl.obolibrary.org/obo/CHEBI_178699
http://purl.obolibrary.org/obo/DRON_00010720,http://purl.obolibrary.org/obo/CHEBI_4884
http://purl.obolibrary.org/obo/DRON_00010723,http://purl.obolibrary.org/obo/CHEBI_313639
http://purl.obolibrary.org/obo/DRON_00010724,http://purl.obolibrary.org/obo/CHEBI_4888
http://purl.obolibrary.org/obo/DRON_00010725,http://purl.obolibrary.org/obo/CHEBI_31573
http://purl.obolibrary.org/obo/DRON_00010740,http://purl.obolibrary.org/obo/CHEBI_135692
http://purl.obolibrary.org/obo/DRON_00010743,http://purl.obolibrary.org/obo/CHEBI_31584
http://purl.obolibrary.org/obo/DRON_00010744,http://purl.obolibrary.org/obo/CHEBI_4913
http://purl.obolibrary.org/obo/DRON_00010747,http://purl.obolibrary.org/obo/CHEBI_134924
http://purl.obolibrary.org/obo/DRON_00010749,http://purl.obolibrary.org/obo/CHEBI_4995
http://purl.obolibrary.org/obo/DRON_00010751,http://purl.obolibrary.org/obo/CHEBI_31599
http://purl.obolibrary.org/obo/DRON_00010752,http://purl.obolibrary.org/obo/CHEBI_94434
http://purl.obolibrary.org/obo/DRON_00010756,http://purl.obolibrary.org/obo/CHEBI_5000
http://purl.obolibrary.org/obo/DRON_00010760,http://purl.obolibrary.org/obo/CHEBI_134903
http://purl.obolibrary.org/obo/DRON_00010761,http://purl.obolibrary.org/obo/CHEBI_82863
http://purl.obolibrary.org/obo/DRON_00010762,http://purl.obolibrary.org/obo/CHEBI_30808
http://purl.obolibrary.org/obo/DRON_00010787,http://purl.obolibrary.org/obo/CHEBI_31612
http://purl.obolibrary.org/obo/DRON_00010788,http://purl.obolibrary.org/obo/CHEBI_134972
http://purl.obolibrary.org/obo/DRON_00010798,http://purl.obolibrary.org/obo/CHEBI_31622
http://purl.obolibrary.org/obo/DRON_00010801,http://purl.obolibrary.org/obo/CHEBI_5121
http://purl.obolibrary.org/obo/DRON_00010804,http://purl.obolibrary.org/obo/CHEBI_5128
http://purl.obolibrary.org/obo/DRON_00010811,http://purl.obolibrary.org/obo/CHEBI_75172
http://purl.obolibrary.org/obo/DRON_00010815,http://purl.obolibrary.org/obo/CHEBI_28915
http://purl.obolibrary.org/obo/DRON_00010822,http://purl.obolibrary.org/obo/CHEBI_4489
http://purl.obolibrary.org/obo/DRON_00010825,http://purl.obolibrary.org/obo/CHEBI_30441
http://purl.obolibrary.org/obo/DRON_00010826,http://purl.obolibrary.org/obo/CHEBI_135323
http://purl.obolibrary.org/obo/DRON_00010827,http://purl.obolibrary.org/obo/CHEBI_31650
http://purl.obolibrary.org/obo/DRON_00010828,http://purl.obolibrary.org/obo/CHEBI_89642
http://purl.obolibrary.org/obo/DRON_00010834,http://purl.obolibrary.org/obo/CHEBI_135816
http://purl.obolibrary.org/obo/DRON_00010837,http://purl.obolibrary.org/obo/CHEBI_5439
http://purl.obolibrary.org/obo/DRON_00010845,http://purl.obolibrary.org/obo/CHEBI_5543
http://purl.obolibrary.org/obo/DRON_00010852,http://purl.obolibrary.org/obo/CHEBI_134855
http://purl.obolibrary.org/obo/DRON_00010855,http://purl.obolibrary.org/obo/CHEBI_5553
http://purl.obolibrary.org/obo/DRON_00010856,http://purl.obolibrary.org/obo/CHEBI_5555
http://purl.obolibrary.org/obo/DRON_00010861,http://purl.obolibrary.org/obo/CHEBI_5603
http://purl.obolibrary.org/obo/DRON_00010866,http://purl.obolibrary.org/obo/CHEBI_5612
http://purl.obolibrary.org/obo/DRON_00010900,http://purl.obolibrary.org/obo/CHEBI_17224
http://purl.obolibrary.org/obo/DRON_00010901,http://purl.obolibrary.org/obo/CHEBI_5856
http://purl.obolibrary.org/obo/DRON_00010909,http://purl.obolibrary.org/obo/CHEBI_135470
http://purl.obolibrary.org/obo/DRON_00010919,http://purl.obolibrary.org/obo/CHEBI_82478
http://purl.obolibrary.org/obo/DRON_00010923,http://purl.obolibrary.org/obo/CHEBI_17941
http://purl.obolibrary.org/obo/DRON_00010926,http://purl.obolibrary.org/obo/CHEBI_73688
http://purl.obolibrary.org/obo/DRON_00010935,http://purl.obolibrary.org/obo/CHEBI_135556
http://purl.obolibrary.org/obo/DRON_00010944,http://purl.obolibrary.org/obo/CHEBI_135737
http://purl.obolibrary.org/obo/DRON_00010960,http://purl.obolibrary.org/obo/CHEBI_135491
http://purl.obolibrary.org/obo/DRON_00010962,http://purl.obolibrary.org/obo/CHEBI_6444
http://purl.obolibrary.org/obo/DRON_00010966,http://purl.obolibrary.org/obo/CHEBI_51164
http://purl.obolibrary.org/obo/DRON_00010968,http://purl.obolibrary.org/obo/CHEBI_64735
http://purl.obolibrary.org/obo/DRON_00010972,http://purl.obolibrary.org/obo/CHEBI_48723
http://purl.obolibrary.org/obo/DRON_00010974,http://purl.obolibrary.org/obo/CHEBI_47782
http://purl.obolibrary.org/obo/DRON_00010975,http://purl.obolibrary.org/obo/CHEBI_51368
http://purl.obolibrary.org/obo/DRON_00010978,http://purl.obolibrary.org/obo/CHEBI_116278
http://purl.obolibrary.org/obo/DRON_00010979,http://purl.obolibrary.org/obo/CHEBI_6520
http://purl.obolibrary.org/obo/DRON_00010983,http://purl.obolibrary.org/obo/CHEBI_47544
http://purl.obolibrary.org/obo/DRON_00010986,http://purl.obolibrary.org/obo/CHEBI_52993
http://purl.obolibrary.org/obo/DRON_00010988,http://purl.obolibrary.org/obo/CHEBI_59040
http://purl.obolibrary.org/obo/DRON_00011012,http://purl.obolibrary.org/obo/CHEBI_35825
http://purl.obolibrary.org/obo/DRON_00011023,http://purl.obolibrary.org/obo/CHEBI_135144
http://purl.obolibrary.org/obo/DRON_00011024,http://purl.obolibrary.org/obo/CHEBI_6706
http://purl.obolibrary.org/obo/DRON_00011047,http://purl.obolibrary.org/obo/CHEBI_135573
http://purl.obolibrary.org/obo/DRON_00011060,http://purl.obolibrary.org/obo/CHEBI_6780
http://purl.obolibrary.org/obo/DRON_00011061,http://purl.obolibrary.org/obo/CHEBI_135293
http://purl.obolibrary.org/obo/DRON_00011062,http://purl.obolibrary.org/obo/CHEBI_6794
http://purl.obolibrary.org/obo/DRON_00011063,http://purl.obolibrary.org/obo/CHEBI_6797
http://purl.obolibrary.org/obo/DRON_00011064,http://purl.obolibrary.org/obo/CHEBI_64216
http://purl.obolibrary.org/obo/DRON_00011066,http://purl.obolibrary.org/obo/CHEBI_6810
http://purl.obolibrary.org/obo/DRON_00011067,http://purl.obolibrary.org/obo/CHEBI_6817
http://purl.obolibrary.org/obo/DRON_00011069,http://purl.obolibrary.org/obo/CHEBI_31827
http://purl.obolibrary.org/obo/DRON_00011070,http://purl.obolibrary.org/obo/CHEBI_6822
http://purl.obolibrary.org/obo/DRON_00011074,http://purl.obolibrary.org/obo/CHEBI_135283
http://purl.obolibrary.org/obo/DRON_00011089,http://purl.obolibrary.org/obo/CHEBI_6846
http://purl.obolibrary.org/obo/DRON_00011096,http://purl.obolibrary.org/obo/CHEBI_31837
http://purl.obolibrary.org/obo/DRON_00011099,http://purl.obolibrary.org/obo/CHEBI_135885
http://purl.obolibrary.org/obo/DRON_00011108,http://purl.obolibrary.org/obo/CHEBI_44241
http://purl.obolibrary.org/obo/DRON_00011109,http://purl.obolibrary.org/obo/CHEBI_6919
http://purl.obolibrary.org/obo/DRON_00011110,http://purl.obolibrary.org/obo/CHEBI_51137
http://purl.obolibrary.org/obo/DRON_00011111,http://purl.obolibrary.org/obo/CHEBI_6920
http://purl.obolibrary.org/obo/DRON_00011113,http://purl.obolibrary.org/obo/CHEBI_6935
http://purl.obolibrary.org/obo/DRON_00011120,http://purl.obolibrary.org/obo/CHEBI_83531
http://purl.obolibrary.org/obo/DRON_00011121,http://purl.obolibrary.org/obo/CHEBI_31859
http://purl.obolibrary.org/obo/DRON_00011124,http://purl.obolibrary.org/obo/CHEBI_6960
http://purl.obolibrary.org/obo/DRON_00011127,http://purl.obolibrary.org/obo/CHEBI_6965
http://purl.obolibrary.org/obo/DRON_00011132,http://purl.obolibrary.org/obo/CHEBI_7009
http://purl.obolibrary.org/obo/DRON_00011139,http://purl.obolibrary.org/obo/CHEBI_135574
http://purl.obolibrary.org/obo/DRON_00011167,http://purl.obolibrary.org/obo/CHEBI_7528
http://purl.obolibrary.org/obo/DRON_00011177,http://purl.obolibrary.org/obo/CHEBI_31905
http://purl.obolibrary.org/obo/DRON_00011181,http://purl.obolibrary.org/obo/CHEBI_135180
http://purl.obolibrary.org/obo/DRON_00011183,http://purl.obolibrary.org/obo/CHEBI_135136
http://purl.obolibrary.org/obo/DRON_00011186,http://purl.obolibrary.org/obo/CHEBI_135428
http://purl.obolibrary.org/obo/DRON_00011188,http://purl.obolibrary.org/obo/CHEBI_134814
http://purl.obolibrary.org/obo/DRON_00011189,http://purl.obolibrary.org/obo/CHEBI_7573
http://purl.obolibrary.org/obo/DRON_00011196,http://purl.obolibrary.org/obo/CHEBI_7577
http://purl.obolibrary.org/obo/DRON_00011209,http://purl.obolibrary.org/obo/CHEBI_34895
http://purl.obolibrary.org/obo/DRON_00011221,http://purl.obolibrary.org/obo/CHEBI_7770
http://purl.obolibrary.org/obo/DRON_00011226,http://purl.obolibrary.org/obo/CHEBI_94686
http://purl.obolibrary.org/obo/DRON_00011228,http://purl.obolibrary.org/obo/CHEBI_136020
http://purl.obolibrary.org/obo/DRON_00011253,http://purl.obolibrary.org/obo/CHEBI_7864
http://purl.obolibrary.org/obo/DRON_00011273,http://purl.obolibrary.org/obo/CHEBI_7922
http://purl.obolibrary.org/obo/DRON_00011277,http://purl.obolibrary.org/obo/CHEBI_7930
http://purl.obolibrary.org/obo/DRON_00011278,http://purl.obolibrary.org/obo/CHEBI_28304
