curie	label	clinical_drug	rxcui
DRON:00068924	tetracycline hydrochloride 0.01 MG/MG Ophthalmic Ointment [Achromycin]	DRON:00046138	91668
DRON:00068925	Tetracycline 10 MG/ML Ophthalmic Suspension [Achromycin]	DRON:00046139	91669
DRON:00068926	nifedipine 10 MG Oral Capsule [Adalat]	DRON:00035759	91691
DRON:00068927	nifedipine 20 MG Oral Capsule [Adalat]	DRON:00035760	91692
DRON:00068928	oxymetholone 50 MG Oral Tablet [Anadrol-50]	DRON:00036598	91792
DRON:00068929	methyltestosterone 10 MG Oral Tablet [Android-10]	DRON:00035725	91805
DRON:00068930	mometasone furoate 1 MG/ML Topical Cream [Elocon]	DRON:00045497	92582
DRON:00068931	mometasone furoate 1 MG/ML Topical Lotion [Elocon]	DRON:00035209	92583
DRON:00068932	mometasone furoate 0.001 MG/MG Topical Ointment [Elocon]	DRON:00035208	92584
DRON:00068933	fluorouracil 10 MG/ML Topical Cream [Fluoroplex]	DRON:00035562	92752
DRON:00068934	griseofulvin 165 MG Oral Tablet [Fulvicin P/G]	DRON:00039077	92758
DRON:00068935	griseofulvin 330 MG Oral Tablet [Fulvicin P/G]	DRON:00039078	92759
DRON:00068936	isosorbide dinitrate 2.5 MG Sublingual Tablet [Isordil]	DRON:00035630	93006
DRON:00068937	isosorbide dinitrate 40 MG Extended Release Oral Capsule [Isordil Tembids]	DRON:00046491	93007
DRON:00068938	fluocinonide 0.0005 MG/MG Topical Gel [Lidex]	DRON:00044932	93130
DRON:00068939	fluocinonide 0.5 MG/ML Topical Solution [Lidex]	DRON:00044934	93131
DRON:00068940	dyphylline 400 MG Oral Tablet [Lufyllin]	DRON:00035508	93181
DRON:00068941	hydrochlorothiazide 50 MG / triamterene 75 MG Oral Tablet [Maxzide]	DRON:00045124	93252
DRON:00068942	hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet [Maxzide]	DRON:00045121	93253
DRON:00068943	meprobamate 600 MG Oral Tablet [Miltown]	DRON:00037392	93319
DRON:00068944	clotrimazole 500 MG Vaginal Insert [Mycelex-G]	DRON:00035436	93370
DRON:00068945	metolazone 0.5 MG Oral Tablet [Mykrox]	DRON:00035726	93382
DRON:00068946	netilmicin 100 MG/ML Injectable Solution [Netromycin]	DRON:00038065	93462
DRON:00068947	simethicone 95 MG Oral Tablet [Phazyme]	DRON:00046005	93756
DRON:00068948	acetaminophen 650 MG / butalbital 50 MG Oral Tablet [Sedapap]	DRON:00035361	94048
DRON:00068949	tetracycline hydrochloride 250 MG Oral Capsule [Sumycin]	DRON:00035899	94185
DRON:00068950	tetracycline hydrochloride 500 MG Oral Capsule [Sumycin]	DRON:00035901	94186
DRON:00068951	tetracycline hydrochloride 250 MG Oral Tablet [Sumycin]	DRON:00046142	94187
DRON:00068952	tetracycline hydrochloride 500 MG Oral Tablet [Sumycin]	DRON:00046144	94188
DRON:00068953	desoximetasone 2.5 MG/ML Topical Cream [Topicort]	DRON:00035463	94345
DRON:00068954	desoximetasone 0.0005 MG/MG Topical Gel [Topicort]	DRON:00046653	94346
DRON:00068955	desoximetasone 0.0025 MG/MG Topical Ointment [Topicort]	DRON:00035464	94348
DRON:00068956	amoxicillin 250 MG Oral Capsule [Trimox]	DRON:00043898	94405
DRON:00068957	amoxicillin 500 MG Oral Capsule [Trimox]	DRON:00043902	94406
DRON:00068958	amoxicillin 25 MG/ML Oral Suspension [Trimox]	DRON:00046373	94407
DRON:00068959	amoxicillin 50 MG/ML Oral Suspension [Trimox]	DRON:00038058	94408
