branded_drug	ingredient
DRON:00068930	CHEBI:15377
DRON:00068930	CHEBI:177857
DRON:00068930	CHEBI:189897
DRON:00068930	CHEBI:26078
DRON:00068930	CHEBI:32154
DRON:00068930	CHEBI:32234
DRON:00068930	CHEBI:62995
DRON:00068930	DRON:00018231
DRON:00068930	DRON:00723190
DRON:00068930	DRON:00723290
DRON:00068930	DRON:00724117
DRON:00068930	DRON:00724118
DRON:00068930	DRON:00724162
DRON:00068931	CHEBI:15377
DRON:00068931	CHEBI:16997
DRON:00068931	CHEBI:17824
DRON:00068931	CHEBI:26078
DRON:00068931	DRON:00016127
DRON:00068931	DRON:00017526
DRON:00068931	DRON:00767224
DRON:00068931	DRON:00827263
DRON:00068932	CHEBI:15377
DRON:00068932	CHEBI:26078
DRON:00068932	CHEBI:62995
DRON:00068932	DRON:00018231
DRON:00068932	DRON:00723190
DRON:00068932	DRON:00724162
DRON:00068933	CHEBI:15377
DRON:00068933	CHEBI:17987
DRON:00068933	CHEBI:32145
DRON:00068933	DRON:00015344
DRON:00068933	DRON:00017909
DRON:00068941	CHEBI:30563
DRON:00068941	CHEBI:53700
DRON:00068941	CHEBI:62968
DRON:00068942	CHEBI:30563
DRON:00068942	CHEBI:53700
DRON:00068942	CHEBI:62968
DRON:00068942	DRON:00723503
DRON:00068945	CHEBI:32596
DRON:00068945	CHEBI:62968
DRON:00068945	DRON:00012940
DRON:00068953	CHEBI:15377
DRON:00068953	DRON:00015344
DRON:00068953	DRON:00017909
DRON:00068953	DRON:00018231
DRON:00068953	DRON:00723364
DRON:00068953	DRON:00724136
DRON:00068954	CHEBI:15377
DRON:00068954	CHEBI:28621
DRON:00068954	DRON:00015344
DRON:00068954	DRON:00723250
DRON:00068955	DRON:00018231
DRON:00068955	DRON:00723398
DRON:00068955	DRON:00723488
DRON:00068963	CHEBI:17716
DRON:00068963	CHEBI:53248
DRON:00068969	CHEBI:15377
DRON:00068969	CHEBI:31835
DRON:00068969	CHEBI:32145
DRON:00068969	CHEBI:53426
DRON:00068969	DRON:00723359
DRON:00068969	DRON:00730913
DRON:00069096	CHEBI:17987
DRON:00069285	DRON:00017493
DRON:00069285	DRON:00017826
DRON:00069288	DRON:00723364
DRON:00069288	DRON:00723989
DRON:00069361	CHEBI:30563
DRON:00069361	CHEBI:32234
DRON:00069361	CHEBI:50819
DRON:00069361	CHEBI:62968
DRON:00069371	CHEBI:132106
DRON:00069371	CHEBI:17987
DRON:00069371	CHEBI:30563
DRON:00069371	CHEBI:31835
DRON:00069371	CHEBI:32063
DRON:00069371	CHEBI:32139
DRON:00069371	CHEBI:32178
DRON:00069371	CHEBI:32234
DRON:00069371	CHEBI:3311
DRON:00069371	CHEBI:46726
DRON:00069371	CHEBI:50819
DRON:00069371	CHEBI:50821
DRON:00069371	CHEBI:5291
DRON:00069371	CHEBI:62968
DRON:00069371	CHEBI:88542
DRON:00069371	DRON:00020263
DRON:00069371	DRON:00723226
DRON:00069372	CHEBI:132106
DRON:00069372	CHEBI:17987
DRON:00069372	CHEBI:30563
DRON:00069372	CHEBI:31835
DRON:00069372	CHEBI:32063
DRON:00069372	CHEBI:32139
DRON:00069372	CHEBI:32178
DRON:00069372	CHEBI:32234
DRON:00069372	CHEBI:3311
DRON:00069372	CHEBI:46726
DRON:00069372	CHEBI:50819
DRON:00069372	CHEBI:50821
DRON:00069372	CHEBI:5291
DRON:00069372	CHEBI:62968
DRON:00069372	CHEBI:88542
DRON:00069372	DRON:00020263
DRON:00069372	DRON:00723226
DRON:00069378	CHEBI:15366
DRON:00069378	CHEBI:15377
DRON:00069378	CHEBI:17883
DRON:00069378	CHEBI:29864
DRON:00069378	CHEBI:32145
DRON:00069378	CHEBI:32954
DRON:00069382	CHEBI:15377
DRON:00069382	CHEBI:17716
DRON:00069382	CHEBI:17883
DRON:00069382	CHEBI:17987
DRON:00069382	CHEBI:32145
DRON:00069382	CHEBI:53258
DRON:00069394	CHEBI:17716
DRON:00069394	CHEBI:17992
DRON:00069394	CHEBI:62968
DRON:00069394	CHEBI:9405
DRON:00069394	DRON:00020263
DRON:00069401	CHEBI:30618
DRON:00069401	CHEBI:32234
DRON:00069401	CHEBI:46793
DRON:00069401	CHEBI:53248
DRON:00069401	CHEBI:53426
DRON:00069401	CHEBI:62968
DRON:00069401	DRON:00020263
DRON:00069401	DRON:00723329
DRON:00069420	CHEBI:15882
DRON:00069420	CHEBI:34683
DRON:00069425	CHEBI:181906
DRON:00069425	CHEBI:30618
DRON:00069425	CHEBI:32159
DRON:00069425	CHEBI:32178
DRON:00069425	CHEBI:32234
DRON:00069425	CHEBI:46793
DRON:00069425	CHEBI:50819
DRON:00069425	CHEBI:53426
DRON:00069425	CHEBI:62968
DRON:00069425	CHEBI:9661
DRON:00069425	DRON:00016127
DRON:00069425	DRON:00020263
DRON:00069425	DRON:00723226
DRON:00069425	DRON:00723329
DRON:00069425	DRON:00723360
DRON:00069425	DRON:00723715
DRON:00069425	DRON:00723716
DRON:00069425	DRON:00761789
DRON:00069425	DRON:00767224
DRON:00069425	DRON:00827263
DRON:00069425	DRON:00837871
DRON:00069426	CHEBI:181906
DRON:00069426	CHEBI:30618
DRON:00069426	CHEBI:32178
DRON:00069426	CHEBI:32234
DRON:00069426	CHEBI:46793
DRON:00069426	CHEBI:50819
DRON:00069426	CHEBI:62968
DRON:00069426	CHEBI:9661
DRON:00069426	DRON:00016127
DRON:00069426	DRON:00020263
DRON:00069426	DRON:00723226
DRON:00069426	DRON:00723360
DRON:00069426	DRON:00767224
DRON:00069426	DRON:00827263
DRON:00069429	CHEBI:30618
DRON:00069429	CHEBI:62968
DRON:00069429	DRON:00723387
DRON:00069431	CHEBI:30563
DRON:00069431	CHEBI:32178
DRON:00069431	CHEBI:34687
DRON:00069431	CHEBI:46793
DRON:00069431	CHEBI:50819
DRON:00069431	CHEBI:53248
DRON:00069431	DRON:00723226
DRON:00069431	DRON:00723451
DRON:00069431	DRON:00793507
DRON:00069451	DRON:00020263
DRON:00069451	DRON:00723223
DRON:00069451	DRON:00724165
DRON:00069503	CHEBI:17716
DRON:00069503	CHEBI:62968
DRON:00069504	CHEBI:17716
DRON:00069504	CHEBI:53700
DRON:00069504	CHEBI:62968
DRON:00069504	DRON:00723223
DRON:00069505	CHEBI:17716
DRON:00069505	CHEBI:62968
DRON:00069505	DRON:00723223
DRON:00069506	CHEBI:29864
DRON:00069506	DRON:00020263
DRON:00069507	CHEBI:29864
DRON:00069507	CHEBI:30563
DRON:00069507	CHEBI:50819
DRON:00069507	DRON:00020263
DRON:00069508	CHEBI:29864
DRON:00069508	CHEBI:50819
DRON:00069508	DRON:00020263
DRON:00069509	CHEBI:29864
DRON:00069509	CHEBI:50819
DRON:00069509	DRON:00020263
DRON:00069511	CHEBI:32234
DRON:00069511	CHEBI:5291
DRON:00069511	CHEBI:53700
DRON:00069511	DRON:00020263
DRON:00069511	DRON:00723499
DRON:00069512	CHEBI:32234
DRON:00069512	CHEBI:5291
DRON:00069512	DRON:00020263
DRON:00069512	DRON:00723499
DRON:00069512	DRON:00723503
DRON:00069526	CHEBI:10607
DRON:00069526	CHEBI:16236
DRON:00069526	CHEBI:30618
DRON:00069526	CHEBI:32234
