curie	label	clinical_drug_form	rxcui
DRON:00034364	calcium chloride, dihydration 0.2 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML / Sodium Lactate 3.1 MG/ML Irrigation Solution	DRON:00032881	89904
DRON:00034365	hydrogen peroxide 300 MG/ML Topical Solution	DRON:00022110	91348
DRON:00034366	hydrogen peroxide 30 MG/ML Topical Solution	DRON:00022110	91349
DRON:00034367	glucose 500 MG/ML Oral Solution	DRON:00020396	95267
DRON:00034368	ichthammol 0.2 MG/MG Topical Ointment	DRON:00023908	95721
DRON:00034369	nitrofurazone 2 MG/ML Topical Solution	DRON:00022715	96058
DRON:00034370	primidone 250 MG Oral Tablet	DRON:00020451	96304
DRON:00034371	alexitol sodium 360 MG Oral Tablet	DRON:00027560	102102
DRON:00034372	magaldrate 160 MG/ML Oral Suspension	DRON:00022325	102104
DRON:00034373	atropine 6 MG/ML Oral Solution	DRON:00027455	102152
DRON:00034374	belladonna extract, USP 0.01 MG/ML Oral Solution	DRON:00027436	102155
DRON:00034375	carbenoxolone 50 MG Oral Tablet	DRON:00027645	102184
DRON:00034376	cascara sagrada 20 MG Oral Tablet	DRON:00021160	102206
DRON:00034377	sennosides, USP 3 MG/ML Oral Solution	DRON:00025390	102214
DRON:00034378	sennosides, USP 1 MG/ML Oral Solution	DRON:00025390	102215
DRON:00034379	magnesium sulfate 400 MG/ML Oral Solution	DRON:00025149	102221
DRON:00034380	phenolphthalein 125 MG Oral Tablet	DRON:00022923	102236
DRON:00034381	witch hazel 200 MG Rectal Suppository	DRON:00027646	102242
DRON:00034382	sodium thiosulfate 500 MG/ML Injectable Solution	DRON:00023424	102274
DRON:00034383	practolol 2 MG/ML Injectable Solution	DRON:00027648	102299
DRON:00034384	quinidine 250 MG Extended Release Oral Capsule	DRON:00023268	102302
DRON:00034385	tocainide 50 MG/ML Injectable Solution	DRON:00027649	102305
DRON:00034386	sotalol 2 MG/ML Injectable Solution	DRON:00025247	102309
DRON:00034387	bethanidine 50 MG Oral Tablet	DRON:00025096	102325
DRON:00034388	lidoflazine 120 MG Oral Tablet	DRON:00027651	102336
DRON:00034389	prenylamine 60 MG Oral Tablet	DRON:00027652	102340
