curie	label	parent	rxcui
DRON:00020329	Triamcinolone Oral Paste	DRON:00000005	10760
DRON:00020330	compound benzoin tincture (USP) Topical Solution	DRON:00000020	90127
DRON:00020331	Coal Tar Topical Solution	DRON:00000020	91318
DRON:00020332	Oxytocin Injectable Solution	DRON:00000020	93672
DRON:00020333	Chloramphenicol Ophthalmic Ointment	DRON:00000019	95104
DRON:00020334	Furosemide Injectable Solution	DRON:00000020	95600
DRON:00020335	Triamcinolone Injectable Suspension	DRON:00000021	96818
DRON:00020336	Triamcinolone Oral Tablet	DRON:00000022	96819
DRON:00020337	Dexamethasone Ophthalmic Ointment	DRON:00000019	103217
DRON:00020338	Chlorhexidine Mouthwash	DRON:00000005	103328
DRON:00020339	Hydrogen Peroxide Mouthwash	DRON:00000005	103331
DRON:00020340	Papaveretum Injectable Solution	DRON:00000020	103754
DRON:00020341	Paraldehyde Injectable Solution	DRON:00000020	106825
DRON:00020342	Morphine Oral Solution	DRON:00000020	106841
DRON:00020343	Sodium Chloride Ophthalmic Irrigation Solution	DRON:00000020	107094
DRON:00020344	Sodium Fluoride Mouthwash	DRON:00000005	107287
DRON:00020345	Hydrocortisone Ophthalmic Ointment	DRON:00000019	108133
DRON:00020346	Papaverine Injectable Solution	DRON:00000020	108499
DRON:00020347	Estradiol Drug Implant	DRON:00000005	109022
DRON:00020348	dextranomer Paste	DRON:00000005	126481
DRON:00020349	Aprotinin Injectable Solution	DRON:00000020	142096
DRON:00020350	Estradiol Injectable Solution	DRON:00000020	142249
DRON:00020351	Potassium Chloride Injectable Solution	DRON:00000020	152997
DRON:00020352	potassium phosphate Injectable Solution	DRON:00000020	152998
DRON:00020353	Nicotine Chewing Gum	DRON:00000005	154906
DRON:00020354	Nitroglycerin Transdermal Patch	DRON:00000005	202507
DRON:00020355	Intramuscular immunoglobulin Injectable Solution	DRON:00000020	204569
DRON:00020356	Bioflavonoids Oral Tablet	DRON:00000022	204578
DRON:00020357	Psyllium Oral Capsule	DRON:00000026	204593
DRON:00020358	Vitamin E Oral Capsule	DRON:00000026	204674
DRON:00020359	magnesium citrate Oral Tablet	DRON:00000022	204730
DRON:00020360	Pancreatin Oral Tablet	DRON:00000022	204747
DRON:00020361	Niacin Extended Release Tablet	DRON:00000022	205199
DRON:00020362	Sodium Hypochlorite Topical Solution	DRON:00000020	210387
DRON:00020363	Calamine / phenol Topical Lotion	DRON:00000018	212094
DRON:00020364	Vitamin B Complex Oral Tablet	DRON:00000022	212342
DRON:00020365	Zinc Oxide Paste	DRON:00000005	221024
DRON:00020366	Activated Charcoal Oral Suspension	DRON:00000021	226681
DRON:00020367	Ephedrine / Phenobarbital / Potassium Iodide / Theophylline Oral Tablet	DRON:00000022	237175
DRON:00020368	Ephedrine / Hydroxyzine / Theophylline Oral Tablet	DRON:00000022	237177
DRON:00020369	Ephedrine / Guaifenesin / Theophylline Oral Tablet	DRON:00000022	237182
DRON:00020370	Dyphylline / Ephedrine / Guaifenesin / Phenobarbital Oral Tablet	DRON:00000022	237183
DRON:00020371	Ascorbic Acid / Hesperidin Oral Tablet	DRON:00000022	237703
DRON:00020372	Liver Extract Oral Tablet	DRON:00000022	237783
DRON:00020373	Activated Charcoal / Simethicone Oral Tablet	DRON:00000022	237834
DRON:00020374	attapulgite / pectin Oral Solution	DRON:00000020	237899
DRON:00020375	paregoric Oral Solution	DRON:00000020	237913
DRON:00020376	Cascara sagrada / Phenolphthalein Oral Tablet	DRON:00000022	237915
DRON:00020377	Mineral Oil Enema	DRON:00000005	237951
DRON:00020378	Fiber Oral Tablet	DRON:00000022	237976
DRON:00020379	Potassium bitartrate / Sodium Bicarbonate Rectal Suppository	DRON:00000005	237977
DRON:00020380	Paraldehyde Oral Solution	DRON:00000020	238093
DRON:00020381	Acetaminophen / Aspirin / Caffeine / Codeine / salicylamide Oral Tablet	DRON:00000022	238118
DRON:00020382	Acetaminophen / Aspirin / Caffeine / salicylamide Oral Tablet	DRON:00000022	238137
DRON:00020383	Acetaminophen / Aspirin / Caffeine Oral Tablet	DRON:00000022	238142
DRON:00020384	Acetaminophen / Caffeine / salicylamide Oral Tablet	DRON:00000022	238148
DRON:00020385	Salicylic Acid Topical Solution	DRON:00000020	238464
DRON:00020386	methyl salicylate Topical Oil	DRON:00000005	238543
DRON:00020387	Menthol Crystals	DRON:00000005	238554
DRON:00020388	Camphor Topical Oil	DRON:00000005	238561
DRON:00020389	Lecithin Granules	DRON:00000005	238676
DRON:00020390	Inositol Oral Tablet	DRON:00000022	238687
DRON:00020391	sulfabenzamide / Sulfacetamide / sulfathiazole Vaginal Tablet	DRON:00000022	238807
DRON:00020392	Hexylresorcinol Topical Solution	DRON:00000020	238826
DRON:00020393	Lidocaine / Povidone-Iodine Topical Solution	DRON:00000020	238889
DRON:00020394	Colchicine / Probenecid Oral Tablet	DRON:00000022	239053
DRON:00020395	Gelatin Oral Tablet	DRON:00000022	239154
DRON:00020396	Glucose Oral Solution	DRON:00000020	239166
DRON:00020397	Hyoscyamine / Methenamine Oral Tablet	DRON:00000022	239226
DRON:00020398	Vitamin B 12 Crystals	DRON:00000005	240136
DRON:00020399	Colloidal oatmeal Topical Oil	DRON:00000005	240184
DRON:00020400	isoniazid / Pyrazinamide / Rifampin Oral Tablet	DRON:00000022	240572
DRON:00020401	Belladonna Alkaloids Oral Tablet	DRON:00000022	240839
DRON:00020402	Potassium Chloride Granules	DRON:00000005	241713
DRON:00020403	potassium bicarbonate Granules	DRON:00000005	241856
DRON:00020404	tricalcium phosphate Oral Tablet	DRON:00000022	241862
DRON:00020405	Isoflurane Inhalant Solution	DRON:00000020	241871
DRON:00020406	Acetaminophen / Bromelains Oral Tablet	DRON:00000022	242222
DRON:00020407	Magnesium Hydroxide Oral Suspension	DRON:00000021	243353
DRON:00020408	Kaolin / paregoric / pectin Oral Suspension	DRON:00000021	243436
DRON:00020409	Acetic Acid Vaginal Gel	DRON:00000015	243591
DRON:00020410	Mannitol / Sorbitol Irrigation Solution	DRON:00000020	243611
DRON:00020411	Calamine / resorcinol / SULFUR,COLLOIDAL Topical Cream	DRON:00000017	244384
