clinical_drug_form	disposition
DRON:00020334	DRON:00000034
DRON:00020342	DRON:00000035
DRON:00020381	DRON:00000035
DRON:00020457	DRON:00000033
DRON:00020466	DRON:00000034
DRON:00020503	DRON:00000035
DRON:00020520	DRON:00000034
DRON:00020528	DRON:00000034
DRON:00020563	DRON:00000034
DRON:00020564	DRON:00000034
DRON:00020567	DRON:00000033
DRON:00020577	DRON:00000034
DRON:00020579	DRON:00000034
DRON:00020580	DRON:00000034
DRON:00020581	DRON:00000034
DRON:00020582	DRON:00000034
DRON:00020583	DRON:00000034
DRON:00020584	DRON:00000034
DRON:00020585	DRON:00000035
DRON:00020586	DRON:00000035
DRON:00020587	DRON:00000035
DRON:00020588	DRON:00000035
DRON:00020596	DRON:00000035
DRON:00020597	DRON:00000035
DRON:00020598	DRON:00000035
DRON:00020599	DRON:00000035
DRON:00020600	DRON:00000033
DRON:00020617	DRON:00000035
DRON:00020622	DRON:00000034
DRON:00020637	DRON:00000034
DRON:00020638	DRON:00000034
DRON:00020651	DRON:00000034
DRON:00020652	DRON:00000034
DRON:00020664	DRON:00000034
DRON:00020665	DRON:00000034
DRON:00020674	DRON:00000035
DRON:00020675	DRON:00000035
DRON:00020676	DRON:00000035
DRON:00020677	DRON:00000035
DRON:00020678	DRON:00000035
DRON:00020682	DRON:00000035
DRON:00020686	DRON:00000035
DRON:00020762	DRON:00000034
DRON:00020763	DRON:00000034
DRON:00020764	DRON:00000034
DRON:00020765	DRON:00000034
DRON:00020766	DRON:00000034
DRON:00020821	DRON:00000035
DRON:00020822	DRON:00000035
DRON:00020829	DRON:00000035
DRON:00020845	DRON:00000035
DRON:00020859	DRON:00000034
DRON:00020860	DRON:00000034
DRON:00020861	DRON:00000034
DRON:00020862	DRON:00000034
DRON:00020895	DRON:00000034
DRON:00020896	DRON:00000034
DRON:00020897	DRON:00000034
DRON:00020898	DRON:00000034
DRON:00020899	DRON:00000034
DRON:00020900	DRON:00000034
DRON:00020919	DRON:00000035
DRON:00020955	DRON:00000034
DRON:00020993	DRON:00000034
DRON:00020994	DRON:00000034
DRON:00021043	DRON:00000035
DRON:00021054	DRON:00000035
DRON:00021110	DRON:00000034
DRON:00021116	DRON:00000034
DRON:00021117	DRON:00000034
DRON:00021153	DRON:00000034
DRON:00021154	DRON:00000034
DRON:00021245	DRON:00000033
DRON:00021246	DRON:00000033
DRON:00021247	DRON:00000033
DRON:00021248	DRON:00000033
DRON:00021249	DRON:00000034
DRON:00021250	DRON:00000034
DRON:00021286	DRON:00000035
DRON:00021302	DRON:00000034
DRON:00021329	DRON:00000034
DRON:00021330	DRON:00000034
DRON:00021393	DRON:00000034
