clinical_drug_form	ingredient
DRON:00020329	CHEBI:9667
DRON:00020330	DRON:00014111
DRON:00020331	DRON:00017871
DRON:00020332	CHEBI:7872
DRON:00020333	CHEBI:17698
DRON:00020334	CHEBI:47426
DRON:00020335	CHEBI:9667
DRON:00020336	CHEBI:9667
DRON:00020337	CHEBI:41879
DRON:00020338	CHEBI:3614
DRON:00020339	CHEBI:16240
DRON:00020340	DRON:00014098
DRON:00020341	CHEBI:27909
DRON:00020342	CHEBI:17303
DRON:00020343	CHEBI:26710
DRON:00020344	CHEBI:28741
DRON:00020345	CHEBI:17650
DRON:00020346	CHEBI:28241
DRON:00020347	CHEBI:23965
DRON:00020348	DRON:00018219
DRON:00020349	DRON:00010006
DRON:00020350	CHEBI:23965
DRON:00020351	CHEBI:32588
DRON:00020352	CHEBI:63036
DRON:00020353	CHEBI:18723
DRON:00020354	CHEBI:28787
DRON:00020355	DRON:00010007
DRON:00020356	DRON:00018133
DRON:00020357	DRON:00016321
DRON:00020358	CHEBI:33234
DRON:00020359	CHEBI:131389
DRON:00020360	DRON:00018284
DRON:00020361	CHEBI:15940
DRON:00020362	CHEBI:32146
DRON:00020363	CHEBI:15882
DRON:00020363	DRON:00018194
DRON:00020364	CHEBI:75782
DRON:00020365	CHEBI:36560
DRON:00020366	DRON:00016889
DRON:00020367	CHEBI:15407
DRON:00020367	CHEBI:28177
DRON:00020367	CHEBI:8069
DRON:00020367	CHEBI:8346
DRON:00020368	CHEBI:15407
DRON:00020368	CHEBI:28177
DRON:00020368	CHEBI:5818
DRON:00020369	CHEBI:15407
DRON:00020369	CHEBI:28177
DRON:00020369	CHEBI:5551
DRON:00020370	CHEBI:15407
DRON:00020370	CHEBI:4728
DRON:00020370	CHEBI:5551
DRON:00020370	CHEBI:8069
DRON:00020371	CHEBI:22652
DRON:00020371	CHEBI:28775
DRON:00020372	DRON:00016575
DRON:00020373	CHEBI:9147
DRON:00020373	DRON:00016889
DRON:00020374	CHEBI:17309
DRON:00020374	CHEBI:82365
DRON:00020375	DRON:00010039
DRON:00020376	CHEBI:34914
DRON:00020376	DRON:00016544
DRON:00020377	DRON:00017909
DRON:00020378	DRON:00012121
DRON:00020379	CHEBI:32034
DRON:00020379	CHEBI:32139
DRON:00020380	CHEBI:27909
DRON:00020381	CHEBI:15365
DRON:00020381	CHEBI:16714
DRON:00020381	CHEBI:27732
DRON:00020381	CHEBI:32114
DRON:00020381	CHEBI:46195
DRON:00020382	CHEBI:15365
DRON:00020382	CHEBI:27732
DRON:00020382	CHEBI:32114
DRON:00020382	CHEBI:46195
DRON:00020383	CHEBI:15365
DRON:00020383	CHEBI:27732
DRON:00020383	CHEBI:46195
DRON:00020384	CHEBI:27732
DRON:00020384	CHEBI:32114
DRON:00020384	CHEBI:46195
DRON:00020385	CHEBI:16914
DRON:00020386	CHEBI:31832
DRON:00020387	DRON:00018290
DRON:00020388	CHEBI:36773
DRON:00020389	CHEBI:61995
DRON:00020390	CHEBI:24848
DRON:00020391	CHEBI:63845
DRON:00020391	CHEBI:9337
DRON:00020391	CHEBI:94677
DRON:00020392	DRON:00018259
DRON:00020393	CHEBI:6456
DRON:00020393	CHEBI:8347
DRON:00020394	CHEBI:23359
DRON:00020394	CHEBI:8426
DRON:00020395	CHEBI:5291
DRON:00020396	CHEBI:17234
DRON:00020397	CHEBI:17486
DRON:00020397	CHEBI:6824
DRON:00020398	CHEBI:17439
DRON:00020399	DRON:00018108
DRON:00020400	CHEBI:28077
DRON:00020400	CHEBI:45285
DRON:00020400	CHEBI:6030
DRON:00020401	DRON:00016834
DRON:00020402	CHEBI:32588
DRON:00020403	CHEBI:81862
DRON:00020404	CHEBI:9679
DRON:00020405	CHEBI:6015
DRON:00020406	CHEBI:46195
DRON:00020406	DRON:00018283
DRON:00020407	CHEBI:35149
DRON:00020408	CHEBI:140503
DRON:00020408	CHEBI:17309
DRON:00020408	DRON:00010039
DRON:00020409	CHEBI:15366
DRON:00020410	CHEBI:29864
DRON:00020410	CHEBI:30911
DRON:00020411	CHEBI:27810
DRON:00020411	DRON:00014240
DRON:00020411	DRON:00018194
DRON:00020412	CHEBI:7660
DRON:00020413	CHEBI:9661
DRON:00020414	CHEBI:24859
DRON:00020415	CHEBI:34247
DRON:00020416	DRON:00010335
DRON:00020417	CHEBI:26710
DRON:00020418	DRON:00017499
DRON:00020419	CHEBI:15354
DRON:00020419	CHEBI:24848
DRON:00020419	CHEBI:28300
DRON:00020420	CHEBI:15440
DRON:00020420	DRON:00015031
DRON:00020421	CHEBI:23965
DRON:00020422	CHEBI:116735
DRON:00020423	CHEBI:116735
DRON:00020423	CHEBI:27810
DRON:00020424	CHEBI:140618
DRON:00020424	DRON:00017813
DRON:00020425	CHEBI:16914
DRON:00020425	DRON:00017871
DRON:00020426	CHEBI:24996
DRON:00020427	CHEBI:131389
DRON:00020428	DRON:00018290
DRON:00020429	CHEBI:31832
DRON:00020429	DRON:00018290
DRON:00020430	CHEBI:16914
DRON:00020431	CHEBI:26710
DRON:00020432	CHEBI:32178
DRON:00020433	CHEBI:33234
DRON:00020434	CHEBI:31832
DRON:00020434	DRON:00018290
DRON:00020435	CHEBI:17246
DRON:00020436	CHEBI:25555
DRON:00020436	CHEBI:25805
DRON:00020437	CHEBI:16526
DRON:00020437	CHEBI:25805
DRON:00020438	CHEBI:25555
DRON:00020438	CHEBI:25805
DRON:00020438	CHEBI:30217
DRON:00020439	CHEBI:16526
DRON:00020439	CHEBI:25555
DRON:00020439	CHEBI:25805
DRON:00020440	CHEBI:25805
DRON:00020440	CHEBI:30217
DRON:00020441	CHEBI:17439
DRON:00020442	CHEBI:36560
DRON:00020443	CHEBI:5134
DRON:00020444	CHEBI:5134
DRON:00020445	CHEBI:2549
DRON:00020446	CHEBI:5693
DRON:00020447	CHEBI:9754
DRON:00020448	CHEBI:17933
DRON:00020449	DRON:00018231
DRON:00020450	CHEBI:46195
DRON:00020451	CHEBI:8412
DRON:00020452	CHEBI:29708
DRON:00020453	CHEBI:35176
DRON:00020454	CHEBI:26948
DRON:00020455	CHEBI:16914
DRON:00020456	CHEBI:60652
DRON:00020457	CHEBI:50845
DRON:00020458	CHEBI:3423
DRON:00020459	CHEBI:5956
DRON:00020460	CHEBI:49553
DRON:00020461	CHEBI:9288
DRON:00020462	CHEBI:17698
DRON:00020463	CHEBI:421707
DRON:00020464	CHEBI:421707
DRON:00020465	CHEBI:2376
DRON:00020466	CHEBI:2379
DRON:00020467	CHEBI:46195
DRON:00020468	CHEBI:46195
DRON:00020469	CHEBI:46195
DRON:00020470	CHEBI:46195
DRON:00020471	CHEBI:46195
DRON:00020472	CHEBI:46195
DRON:00020473	CHEBI:102524
DRON:00020473	CHEBI:46195
DRON:00020474	CHEBI:102524
DRON:00020474	CHEBI:46195
DRON:00020475	CHEBI:27732
DRON:00020475	CHEBI:46195
DRON:00020476	CHEBI:3311
DRON:00020476	CHEBI:46195
DRON:00020477	CHEBI:46195
DRON:00020477	CHEBI:52010
DRON:00020478	CHEBI:46195
DRON:00020478	CHEBI:4636
DRON:00020479	CHEBI:46195
DRON:00020479	CHEBI:4636
DRON:00020480	CHEBI:16796
DRON:00020480	CHEBI:46195
DRON:00020481	CHEBI:46195
DRON:00020481	DRON:00017590
DRON:00020482	CHEBI:135047
DRON:00020482	CHEBI:46195
DRON:00020483	CHEBI:135047
DRON:00020483	CHEBI:46195
DRON:00020484	CHEBI:46195
DRON:00020484	CHEBI:6762
DRON:00020485	CHEBI:27690
DRON:00020486	CHEBI:27690
DRON:00020487	CHEBI:15366
DRON:00020488	CHEBI:15366
DRON:00020489	CHEBI:28052
DRON:00020490	CHEBI:27777
DRON:00020491	CHEBI:15355
DRON:00020492	CHEBI:22198
DRON:00020493	CHEBI:50172
DRON:00020494	DRON:00016889
DRON:00020495	DRON:00016889
DRON:00020496	CHEBI:2453
DRON:00020497	CHEBI:2453
DRON:00020498	DRON:00014402
DRON:00020499	CHEBI:16664
DRON:00020500	CHEBI:2549
DRON:00020501	CHEBI:2549
DRON:00020502	DRON:00020201
DRON:00020503	CHEBI:2569
DRON:00020504	CHEBI:40279
DRON:00020505	CHEBI:2611
DRON:00020506	CHEBI:15544
DRON:00020507	CHEBI:15544
DRON:00020508	CHEBI:24564
DRON:00020509	DRON:00012401
DRON:00020510	DRON:00012401
DRON:00020511	CHEBI:30114
DRON:00020512	CHEBI:33130
DRON:00020513	CHEBI:33130
DRON:00020514	CHEBI:33130
DRON:00020515	CHEBI:2618
DRON:00020516	CHEBI:2618
DRON:00020517	CHEBI:2627
DRON:00020518	DRON:00010082
DRON:00020519	CHEBI:2637
DRON:00020520	CHEBI:2639
DRON:00020521	CHEBI:2654
DRON:00020522	CHEBI:17549
DRON:00020523	CHEBI:2663
DRON:00020524	CHEBI:2666
DRON:00020525	CHEBI:2666
DRON:00020526	CHEBI:2666
DRON:00020526	CHEBI:3611
DRON:00020527	CHEBI:2666
DRON:00020527	CHEBI:8028
DRON:00020528	CHEBI:2668
