clinical_drug	ingredient	strength	unit
DRON:00034370	CHEBI:8412	250.0	UO:0000022
DRON:00034371	DRON:00014000	360.0	UO:0000022
DRON:00034375	CHEBI:41462	50.0	UO:0000022
DRON:00034376	DRON:00016544	20.0	UO:0000022
DRON:00034380	CHEBI:34914	125.0	UO:0000022
DRON:00034384	CHEBI:28593	250.0	UO:0000022
DRON:00034387	CHEBI:37937	50.0	UO:0000022
DRON:00034388	DRON:00014061	120.0	UO:0000022
DRON:00034389	CHEBI:8397	60.0	UO:0000022
DRON:00034390	CHEBI:28787	5.0	UO:0000022
DRON:00034391	CHEBI:28787	10.0	UO:0000022
DRON:00034392	CHEBI:37936	12.5	UO:0000022
DRON:00034395	CHEBI:3988	400.0	UO:0000022
DRON:00034399	CHEBI:31563	250.0	UO:0000022
DRON:00034400	CHEBI:30659	2.0	UO:0000022
DRON:00034401	CHEBI:135612	20.0	UO:0000022
DRON:00034403	CHEBI:6005	10.0	UO:0000022
DRON:00034409	DRON:00017119	424.0	UO:0000022
DRON:00034410	CHEBI:59788	2.5	UO:0000022
DRON:00034411	CHEBI:59788	5.0	UO:0000022
DRON:00034414	CHEBI:135556	15.0	UO:0000022
DRON:00034415	CHEBI:135556	30.0	UO:0000022
DRON:00034416	CHEBI:31807	10.0	UO:0000022
DRON:00034417	CHEBI:2673	60.0	UO:0000022
DRON:00034418	CHEBI:2673	200.0	UO:0000022
DRON:00034419	CHEBI:3651	15.0	UO:0000022
DRON:00034420	CHEBI:3651	50.0	UO:0000022
DRON:00034422	CHEBI:135177	30.0	UO:0000022
DRON:00034423	CHEBI:5958	25.0	UO:0000022
DRON:00034424	CHEBI:5958	50.0	UO:0000022
DRON:00034425	CHEBI:4469	7.5	UO:0000022
DRON:00034426	CHEBI:4469	12.5	UO:0000022
DRON:00034427	CHEBI:4469	20.0	UO:0000022
DRON:00034428	CHEBI:53448	400.0	UO:0000022
DRON:00034430	CHEBI:16794	0.6	UO:0000022
DRON:00034431	CHEBI:9544	6.33	UO:0000022
DRON:00034434	CHEBI:15365	600.0	UO:0000022
DRON:00034437	CHEBI:6444	1.5	UO:0000022
DRON:00034438	CHEBI:6754	25.0	UO:0000022
DRON:00034439	CHEBI:134859	500.0	UO:0000022
DRON:00034440	CHEBI:16811	250.0	UO:0000022
DRON:00034442	CHEBI:52427	250.0	UO:0000022
DRON:00034443	CHEBI:27446	125.0	UO:0000022
DRON:00034446	CHEBI:9391	250.0	UO:0000022
DRON:00034447	CHEBI:59589	170.0	UO:0000022
DRON:00034448	CHEBI:59040	204.0	UO:0000022
DRON:00034451	CHEBI:7508	250.0	UO:0000022
DRON:00034452	DRON:00013949	500.0	UO:0000022
DRON:00034453	CHEBI:9336	500.0	UO:0000022
DRON:00034454	CHEBI:32161	500.0	UO:0000022
DRON:00034457	CHEBI:94621	500.0	UO:0000022
DRON:00034458	CHEBI:134891	500.0	UO:0000022
DRON:00034459	CHEBI:40009	125.0	UO:0000022
DRON:00034461	CHEBI:2674	200.0	UO:0000022
DRON:00034462	CHEBI:8673	12.5	UO:0000022
DRON:00034463	CHEBI:28568	500.0	UO:0000022
DRON:00034464	CHEBI:135545	25.0	UO:0000022
DRON:00034465	CHEBI:146188	500.0	UO:0000022
DRON:00034467	CHEBI:4495	50.0	UO:0000022
DRON:00034469	CHEBI:27974	0.25	UO:0000022
DRON:00034470	CHEBI:135506	0.25	UO:0000022
DRON:00034471	CHEBI:8716	4.0	UO:0000022
DRON:00034473	CHEBI:27436	5.0	UO:0000022
DRON:00034474	CHEBI:27436	50.0	UO:0000022
DRON:00034478	DRON:00013863	40.0	UO:0000022
DRON:00034480	CHEBI:7488	25.0	UO:0000022
DRON:00034482	CHEBI:135169	100.0	UO:0000022
DRON:00034483	CHEBI:135168	12.5	UO:0000022
DRON:00034487	DRON:00017083	565.0	UO:0000022
DRON:00034489	DRON:00017083	225.0	UO:0000022
DRON:00034494	DRON:00017761	600.0	UO:0000022
DRON:00034496	CHEBI:23359	0.25	UO:0000022
DRON:00034500	DRON:00016887	10.0	UO:0000022
DRON:00034531	DRON:00014098	10.0	UO:0000022
DRON:00034532	CHEBI:3437	10.0	UO:0000022
DRON:00034533	DRON:00014060	2.0	UO:0000022
DRON:00034535	CHEBI:6432	50.0	UO:0000022
DRON:00034543	CHEBI:6128	150.0	UO:0000022
DRON:00034547	CHEBI:15365	75.0	UO:0000022
DRON:00034548	CHEBI:6367	100.0	UO:0000022
DRON:00034551	CHEBI:32139	300.0	UO:0000022
DRON:00034552	CHEBI:32139	600.0	UO:0000022
DRON:00034553	CHEBI:32139	500.0	UO:0000022
DRON:00034554	DRON:00016263	500.0	UO:0000022
DRON:00034556	CHEBI:33130	600.0	UO:0000022
DRON:00034556	CHEBI:35149	300.0	UO:0000022
DRON:00034558	DRON:00013985	5.0	UO:0000022
DRON:00034559	CHEBI:135443	4.0	UO:0000022
DRON:00034560	CHEBI:518413	60.0	UO:0000022
DRON:00034574	CHEBI:135898	0.25	UO:0000022
DRON:00034575	CHEBI:31809	25.0	UO:0000022
DRON:00034576	CHEBI:135499	20.0	UO:0000022
DRON:00034578	CHEBI:3213	5.0	UO:0000022
DRON:00034580	CHEBI:32015	6.0	UO:0000022
DRON:00034586	CHEBI:9241	100.0	UO:0000022
DRON:00034587	CHEBI:3047	25.0	UO:0000022
DRON:00034587	CHEBI:9671	50.0	UO:0000022
DRON:00034588	CHEBI:3654	25.0	UO:0000022
DRON:00034588	CHEBI:9671	50.0	UO:0000022
DRON:00034589	CHEBI:3654	50.0	UO:0000022
DRON:00034589	CHEBI:9671	50.0	UO:0000022
DRON:00034590	CHEBI:3213	0.5	UO:0000022
DRON:00034591	CHEBI:3013	2.5	UO:0000022
DRON:00034592	CHEBI:47426	40.0	UO:0000022
DRON:00034593	CHEBI:47426	20.0	UO:0000022
DRON:00034594	CHEBI:3013	2.5	UO:0000022
DRON:00034595	CHEBI:4657	250.0	UO:0000022
DRON:00034597	CHEBI:3654	12.5	UO:0000022
DRON:00034597	CHEBI:6904	100.0	UO:0000022
DRON:00034598	CHEBI:5778	25.0	UO:0000022
DRON:00034598	CHEBI:63622	160.0	UO:0000022
DRON:00034599	CHEBI:5778	12.5	UO:0000022
DRON:00034599	CHEBI:63622	80.0	UO:0000022
DRON:00034600	CHEBI:61058	250.0	UO:0000022
DRON:00034601	CHEBI:3380	25.0	UO:0000022
DRON:00034601	CHEBI:5778	12.5	UO:0000022
DRON:00034602	CHEBI:6060	25.0	UO:0000022
DRON:00034603	CHEBI:134760	30.0	UO:0000022
DRON:00034604	CHEBI:134972	100.0	UO:0000022
DRON:00034605	CHEBI:134972	50.0	UO:0000022
DRON:00034606	CHEBI:6061	20.0	UO:0000022
DRON:00034610	CHEBI:31403	75.0	UO:0000022
DRON:00034611	CHEBI:135846	250.0	UO:0000022
DRON:00034612	CHEBI:24848	500.0	UO:0000022
DRON:00034613	DRON:00014068	40.0	UO:0000022
DRON:00034614	DRON:00015457	250.0	UO:0000022
DRON:00034617	CHEBI:8066	25.0	UO:0000022
DRON:00034618	CHEBI:8066	50.0	UO:0000022
DRON:00034619	CHEBI:15365	75.0	UO:0000022
DRON:00034620	CHEBI:15365	75.0	UO:0000022
DRON:00034621	CHEBI:31563	500.0	UO:0000022
DRON:00034622	CHEBI:48669	500.0	UO:0000022
DRON:00034623	CHEBI:50867	100.0	UO:0000022
DRON:00034626	CHEBI:8245	10.0	UO:0000022
DRON:00034627	CHEBI:8245	15.0	UO:0000022
DRON:00034628	CHEBI:553827	10.0	UO:0000022
DRON:00034629	CHEBI:553827	20.0	UO:0000022
DRON:00034633	CHEBI:135222	2.5	UO:0000022
DRON:00034634	CHEBI:31821	5.0	UO:0000022
DRON:00034635	CHEBI:31943	30.0	UO:0000022
DRON:00034637	CHEBI:41531	100.0	UO:0000022
DRON:00034639	CHEBI:48814	414.0	UO:0000022
DRON:00034640	CHEBI:31622	1.0	UO:0000022
DRON:00034641	CHEBI:9435	20.0	UO:0000022
DRON:00034644	CHEBI:31302	1.5	UO:0000022
DRON:00034645	CHEBI:31807	5.0	UO:0000022
DRON:00034646	CHEBI:134957	200.0	UO:0000022
DRON:00034647	CHEBI:4717	10.0	UO:0000022
DRON:00034648	CHEBI:31952	10.0	UO:0000022
DRON:00034649	CHEBI:31952	40.0	UO:0000022
DRON:00034650	CHEBI:31981	2.5	UO:0000022
DRON:00034651	CHEBI:31981	10.0	UO:0000022
DRON:00034652	CHEBI:31981	25.0	UO:0000022
DRON:00034653	CHEBI:8212	4.0	UO:0000022
DRON:00034654	CHEBI:45951	2.0	UO:0000022
DRON:00034655	CHEBI:45951	10.0	UO:0000022
DRON:00034656	CHEBI:45951	15.0	UO:0000022
DRON:00034659	CHEBI:2666	75.0	UO:0000022
DRON:00034661	CHEBI:135177	15.0	UO:0000022
DRON:00034662	DRON:00010126	10.0	UO:0000022
DRON:00034663	CHEBI:5138	50.0	UO:0000022
DRON:00034664	CHEBI:5138	100.0	UO:0000022
DRON:00034665	CHEBI:7953	20.0	UO:0000022
DRON:00034666	CHEBI:35677	8.0	UO:0000022
DRON:00034667	CHEBI:31403	15.0	UO:0000022
DRON:00034671	CHEBI:7773	4.0	UO:0000022
DRON:00034672	CHEBI:15365	300.0	UO:0000022
DRON:00034674	CHEBI:16811	250.0	UO:0000022
DRON:00034674	CHEBI:46195	500.0	UO:0000022
DRON:00034675	CHEBI:15365	400.0	UO:0000022
DRON:00034675	CHEBI:16714	8.0	UO:0000022
DRON:00034676	CHEBI:135479	10.0	UO:0000022
DRON:00034676	CHEBI:3994	30.0	UO:0000022
DRON:00034677	CHEBI:8056	5.0	UO:0000022
DRON:00034678	CHEBI:6758	30.0	UO:0000022
DRON:00034679	CHEBI:32010	800.0	UO:0000022
DRON:00034682	CHEBI:15765	125.0	UO:0000022
DRON:00034683	DRON:00013998	5.0	UO:0000022
DRON:00034684	CHEBI:51368	0.2	UO:0000022
DRON:00034690	CHEBI:28971	250.0	UO:0000022
DRON:00034690	CHEBI:49566	250.0	UO:0000022
DRON:00034691	CHEBI:51210	100.0	UO:0000022
DRON:00034691	CHEBI:8255	125.0	UO:0000022
