curie	label	rxcui
CHEBI:10023	voriconazole	121243
CHEBI:100241	ciprofloxacin	2551
CHEBI:100246	norfloxacin	7517
CHEBI:10033	warfarin	11289
CHEBI:10055	Xamoterol	39801
CHEBI:10082	Xylometazoline	39841
CHEBI:10093	yohimbine	220982
CHEBI:10100	zafirlukast	114970
CHEBI:10101	zalcitabine	3363
CHEBI:10102	zaleplon	74667
CHEBI:101085	diclofenamide	3353
CHEBI:10110	zidovudine	11413
CHEBI:10112	zileuton	40575
CHEBI:10119	ziprasidone	115698
CHEBI:10124	zolmitriptan	135775
CHEBI:10125	zolpidem	39993
CHEBI:10127	zonisamide	39998
CHEBI:101278	diltiazem	3443
CHEBI:101853	gemifloxacin	138099
CHEBI:102130	sulfamerazine	10176
CHEBI:102166	thiopental	10493
CHEBI:10217	cedrol	1670019
CHEBI:102216	methohexital	6847
CHEBI:102265	sulfamethazine	10178
CHEBI:102484	sulfisoxazole	10207
CHEBI:102516	sulfamethoxypyridazine	10181
CHEBI:102524	butalbital	19860
CHEBI:10302	alpha-Methyl-m-tyramine	41157
CHEBI:104011	p-aminohippuric acid	42837
CHEBI:10575	gamma-nonanolactone	1659905
CHEBI:10607	n-propyl gallate	1311134
CHEBI:10650	sumatriptan	37418
CHEBI:107736	metoclopramide	6915
CHEBI:110423	clodronic acid	3350
CHEBI:111762	nordazepam	3155
CHEBI:113451	sodium ascorbate	267366
CHEBI:114785	erlotinib	337525
CHEBI:114786	sodium disulfite	36696
CHEBI:116225	nomifensine	7500
CHEBI:116278	lomefloxacin	28872
CHEBI:116735	benzocaine	1399
CHEBI:119486	efavirenz	195085
CHEBI:119573	delavirdine	83816
CHEBI:119915	fentanyl	4337
CHEBI:124991	cefalotin	2236
CHEBI:125	(-)-alpha-Bisabolol	19461
CHEBI:125354	plerixafor	733003
CHEBI:127342	atomoxetine	38400
CHEBI:12777	vitamin A	11246
CHEBI:127780	phosphonoformic acid	33562
CHEBI:131383	2,2,4,4,6,8,8-heptamethylnonane	1362933
CHEBI:131389	magnesium citrate	52356
CHEBI:131526	potassium carbonate	34300
CHEBI:131527	dipotassium hydrogen phosphate	55018
CHEBI:131713	xibornol	39823
CHEBI:131715	rosoxacin	35797
CHEBI:131726	brodimoprim	19727
CHEBI:131730	cefatrizine	2179
CHEBI:131762	dodecyldimethylamine N-oxide	1364388
CHEBI:132106	sodium propionate	56513
CHEBI:132153	hyaluronate	62372
CHEBI:132230	marbofloxacin	69256
CHEBI:132268	dacomitinib	2058849
CHEBI:132767	ferric pyrophosphate	1607976
CHEBI:132842	sulfapyridine	10188
CHEBI:132943	aspartate	42543
CHEBI:132967	elbasvir	1734628
CHEBI:132975	grazoprevir	1734630
CHEBI:133009	velpatasvir	1799206
CHEBI:133013	brivaracetam	1739745
CHEBI:133017	pimavanserin	1791685
CHEBI:133021	venetoclax	1747556
CHEBI:133023	lifitegrast	1801820
CHEBI:133326	barium sulfate	1331
CHEBI:133354	bentonite	1375
CHEBI:133748	citrate anion	114200
CHEBI:133809	anisindione	17941
CHEBI:133833	benznidazole	18994
CHEBI:134677	crisaborole	1865953
CHEBI:134689	rucaparib	1862579
CHEBI:134699	opicapone	2362167
CHEBI:134700	etelcalcetide	1876119
CHEBI:134709	pitolisant	2197878
CHEBI:134714	sacubitril	1656328
CHEBI:134716	brexpiprazole	1658314
CHEBI:134718	safinamide	1922448
CHEBI:134719	ceftolozane	1597609
CHEBI:134726	istradefylline	2199015
CHEBI:134743	simeprevir	1482790
CHEBI:134745	glycerol phenylbutyrate	1368451
CHEBI:134750	octinoxate	13369
CHEBI:134751	avobenzone	45045
CHEBI:134756	noxytiolin	7543
CHEBI:134758	octodrine	236867
CHEBI:134760	pentaerythritol	33055
CHEBI:134761	methyl nicotinate	29900
CHEBI:134765	isometheptene	27946
CHEBI:134766	cyclopentamine	59094
CHEBI:134772	cresatin	21732
CHEBI:134774	aminomethylbenzoic acid	14852
CHEBI:134776	tisopurine	38136
CHEBI:134779	norfenefrine	31988
CHEBI:134783	propylhexedrine	8792
CHEBI:134788	oxiracetam	32645
CHEBI:134798	pholedrine	33432
CHEBI:134802	sobrerol	36669
CHEBI:134806	terpin	89916
CHEBI:134808	acexamic acid	15978
CHEBI:134813	chlorobutanol	2378
CHEBI:134814	nikethamide	7424
