curie	ndc	branded_drug
DRON:00090274	55045183509	DRON:00068924
DRON:00090275	55045188104	DRON:00068924
DRON:00090276	00026881118	DRON:00068926
DRON:00090277	00026881148	DRON:00068926
DRON:00090278	00026881151	DRON:00068926
DRON:00090279	00026882118	DRON:00068927
DRON:00090280	00026882148	DRON:00068927
DRON:00090281	00026882151	DRON:00068927
DRON:00090303	00051863333	DRON:00068928
DRON:00090304	62559087501	DRON:00068928
DRON:00090305	68220005510	DRON:00068928
DRON:00090306	00187031106	DRON:00068929
DRON:00090386	00085056701	DRON:00068930
DRON:00090387	00085056702	DRON:00068930
DRON:00090388	00247046315	DRON:00068930
DRON:00090389	00247148545	DRON:00068930
DRON:00090390	52959073601	DRON:00068930
DRON:00090391	52959073602	DRON:00068930
DRON:00090392	53002083263	DRON:00068930
DRON:00090393	53002083267	DRON:00068930
DRON:00090394	54569201100	DRON:00068930
DRON:00090395	54569261900	DRON:00068930
DRON:00090396	54868222300	DRON:00068930
DRON:00090397	54868222301	DRON:00068930
DRON:00090398	55045157205	DRON:00068930
DRON:00090399	55045157208	DRON:00068930
DRON:00090400	55887073515	DRON:00068930
DRON:00090401	55887073545	DRON:00068930
DRON:00090402	58016324101	DRON:00068930
DRON:00090403	58016560501	DRON:00068930
DRON:00090404	00085085401	DRON:00068931
DRON:00090405	00085085402	DRON:00068931
DRON:00090406	54868222400	DRON:00068931
DRON:00090407	00085037001	DRON:00068932
DRON:00090408	00085037002	DRON:00068932
DRON:00090409	00247208815	DRON:00068932
DRON:00090410	00247208945	DRON:00068932
DRON:00090411	54868222500	DRON:00068932
DRON:00090420	00023081230	DRON:00068933
DRON:00090421	63486081230	DRON:00068933
DRON:00090422	00085065403	DRON:00068934
DRON:00090423	00085035203	DRON:00068935
DRON:00090424	00247183700	DRON:00068935
DRON:00090425	54868224501	DRON:00068935
DRON:00090426	54868224502	DRON:00068935
DRON:00090427	55289004430	DRON:00068935
DRON:00090428	60491027530	DRON:00068935
DRON:00090429	60491027534	DRON:00068935
DRON:00090446	00008413901	DRON:00068936
DRON:00090447	00008413903	DRON:00068936
DRON:00090448	00008413905	DRON:00068936
DRON:00090525	00033250713	DRON:00068938
DRON:00090526	00033250714	DRON:00068938
DRON:00090527	00033250717	DRON:00068938
DRON:00090528	00033250722	DRON:00068938
DRON:00090529	63285050710	DRON:00068938
DRON:00090530	63285050713	DRON:00068938
DRON:00090531	63285050714	DRON:00068938
DRON:00090532	63285050717	DRON:00068938
DRON:00090533	99207050710	DRON:00068938
DRON:00090534	99207050713	DRON:00068938
DRON:00090535	99207050714	DRON:00068938
DRON:00090536	99207050717	DRON:00068938
DRON:00090537	99207250714	DRON:00068938
DRON:00090538	99207250717	DRON:00068938
DRON:00090539	00033251744	DRON:00068939
DRON:00090540	00033251746	DRON:00068939
DRON:00090541	49396027112	DRON:00068939
DRON:00090542	49396027147	DRON:00068939
DRON:00090543	49396027160	DRON:00068939
DRON:00090544	99207051744	DRON:00068939
DRON:00090545	99207051746	DRON:00068939
DRON:00090546	99207251744	DRON:00068939
DRON:00090547	99207251746	DRON:00068939
DRON:00090566	00037073178	DRON:00068940
DRON:00090567	00037073192	DRON:00068940
DRON:00090568	00037073197	DRON:00068940
DRON:00090569	00037073199	DRON:00068940
DRON:00090570	00005446031	DRON:00068941
DRON:00090571	00005446043	DRON:00068941
DRON:00090572	00005446060	DRON:00068941
DRON:00090573	00378755001	DRON:00068941
DRON:00090574	00378755005	DRON:00068941
DRON:00090575	00378755010	DRON:00068941
DRON:00090576	00378755088	DRON:00068941
DRON:00090577	54868086602	DRON:00068941
DRON:00090578	54868086603	DRON:00068941
DRON:00090579	55160010101	DRON:00068941
DRON:00090580	55160010105	DRON:00068941
DRON:00090581	55160010111	DRON:00068941
DRON:00090582	55160010160	DRON:00068941
DRON:00090583	55160010193	DRON:00068941
DRON:00090584	58056014310	DRON:00068941
DRON:00090585	58056014343	DRON:00068941
DRON:00090586	60491039030	DRON:00068941
DRON:00090587	60491039034	DRON:00068941
DRON:00090588	62794046001	DRON:00068941
DRON:00090589	62794046005	DRON:00068941
DRON:00090590	62794046088	DRON:00068941
DRON:00090591	00005446443	DRON:00068942
DRON:00090592	00005446460	DRON:00068942
DRON:00090593	00378372501	DRON:00068942
DRON:00090594	00378372505	DRON:00068942
DRON:00090595	00378372510	DRON:00068942
DRON:00090596	54569232001	DRON:00068942
DRON:00090597	54868090701	DRON:00068942
DRON:00090598	54868090702	DRON:00068942
DRON:00090599	55160010201	DRON:00068942
DRON:00090600	55160010211	DRON:00068942
DRON:00090601	55160010260	DRON:00068942
DRON:00090602	55160010293	DRON:00068942
DRON:00090603	57866680101	DRON:00068942
DRON:00090604	60491039130	DRON:00068942
DRON:00090605	60491039134	DRON:00068942
DRON:00090606	62794046401	DRON:00068942
DRON:00090607	62794046405	DRON:00068942
DRON:00090608	62794046488	DRON:00068942
DRON:00090609	00037160101	DRON:00068943
DRON:00090610	00026309701	DRON:00068944
DRON:00090611	00247147101	DRON:00068944
DRON:00090612	53002097201	DRON:00068944
DRON:00090613	54569124600	DRON:00068944
DRON:00090614	54868304700	DRON:00068944
