rxcui	drugbank
60	DB01509
61	DB03107
74	DB02362
76	DB04699
90	DB00159
94	DB02959
95	DB14010
99	DB00513
103	DB01033
108	DB00154
110	DB11145
117	DB12231
149	DB01193
154	DB01418
155	DB01614
161	DB00316
164	DB03166
167	DB00819
168	DB03166
173	DB00414
184	DB09347
193	DB08842
194	DB03128
197	DB06151
200	DB15906
239	DB11617
249	DB13326
249	DB13373
261	DB15794
264	DB12860
270	DB00919
272	DB09278
281	DB00787
290	DB00173
296	DB00640
303	DB00061
309	DB00131
310	DB03708
318	DB00171
333	DB15795
376	DB01285
411	DB09337
423	DB01426
426	DB00160
430	DB00518
433	DB10528
435	DB01001
437	DB13167
448	DB00898
480	DB00802
481	DB00866
486	DB15775
494	DB05768
508	DB11100
516	DB13577
519	DB00437
525	DB01431
528	DB01430
535	DB00058
541	DB05258
554	DB00511
560	DB11065
569	DB06243
579	DB15182
583	DB17612
594	DB13160
596	DB00404
597	DB00866
598	DB00770
599	DB09363
612	DB06723
615	DB11342
620	DB00915
623	DB01122
625	DB06742
626	DB01163
627	DB01605
632	DB00305
639	DB00271
641	DB00479
644	DB00594
645	DB11561
677	DB00357
681	DB06143
683	DB00855
689	DB01223
695	DB01424
698	DB01490
703	DB01118
704	DB00321
712	DB06767
719	DB01351
720	DB00613
722	DB00543
723	DB01060
725	DB00182
732	DB00681
733	DB00415
738	DB01427
739	DB00276
742	DB01612
743	DB11065
752	DB15216
772	DB05099
784	DB01536
784	DB01561
820	DB13853
839	DB11842
865	DB08799
873	DB11157
1001	DB01435
1009	DB11598
1029	DB07402
1043	DB00714
1056	DB06692
1063	DB00200
1071	DB16873
1091	DB00125
1091	DB17289
1151	DB00126
1156	DB00023
1157	DB00174
1167	DB16619
1169	DB00128
1191	DB00945
1202	DB00335
1218	DB13295
1219	DB00732
1223	DB00572
1227	DB00995
1245	DB15228
1251	DB00928
1256	DB00993
1266	DB01061
1272	DB00355
1291	DB00626
1292	DB00181
1324	DB01351
1325	DB01483
1331	DB11150
1344	DB12768
1348	DB00394
1356	DB11600
1361	DB09023
1369	DB00436
1372	DB13657
1373	DB12867
1374	DB12783
1375	DB11306
1378	DB11105
1385	DB12319
1388	DB00431
1390	DB11125
1399	DB01086
1402	DB12537
1406	DB11222
1406	DB14020
1418	DB09096
1422	DB00865
1424	DB00245
1425	DB09084
1426	DB06770
1436	DB01244
1437	DB04115
1440	DB12993
1476	DB15774
1480	DB13761
1511	DB06698
1512	DB06756
1514	DB00443
1520	DB00195
1521	DB00272
1523	DB00217
1525	DB01393
1588	DB00121
1589	DB00810
1596	DB09020
1598	DB00266
1605	DB04813
1622	DB00290
1629	DB28492
1674	DB11724
1700	DB11326
1705	DB11203
1712	DB00083
1723	DB12126
1749	DB01558
1752	DB13281
1753	DB09019
1760	DB01200
1762	DB12028
1767	DB00405
1767	DB00835
1796	DB13346
1803	DB04830
1804	DB01445
1808	DB00887
1813	DB01210
1815	DB00297
1815	DB01002
1819	DB00921
1825	DB06719
1827	DB00490
1828	DB01008
1829	DB11502
1837	DB13213
1841	DB00611
1848	DB16863
1863	DB16187
1884	DB00403
1886	DB00201
1889	DB00146
1891	DB06379
1894	DB00136
1895	DB01373
1897	DB06724
1901	DB01164
1902	DB09116
1905	DB15962
1907	DB13962
1908	DB11126
1909	DB11264
1919	DB11348
1920	DB11348
1925	DB15533
1947	DB01564
1950	DB01489
1952	DB01744
1952	DB14156
1953	DB04690
1960	DB01152
1976	DB14737
1982	DB12221
1984	DB12328
1992	DB06774
1998	DB01197
1999	DB00411
2002	DB00564
2009	DB18912
2011	DB09012
2015	DB00578
2019	DB00190
2020	DB00389
2023	DB04339
2031	DB09278
2032	DB11980
2034	DB09157
2037	DB11588
2051	DB19356
2053	DB04657
2062	DB11059
2068	DB13406
2101	DB00395
2105	DB00262
2116	DB00521
2129	DB11113
2176	DB00833
2177	DB01140
2178	DB01326
2179	DB13266
2180	DB01327
2181	DB00267
2182	DB00274
2183	DB01328
2184	DB01329
2186	DB00493
2187	DB01330
2188	DB00229
2189	DB01331
2191	DB00438
2192	DB01332
2193	DB01212
2194	DB01112
2221	DB14158
2228	DB13758
2230	DB01414
2231	DB00567
2232	DB00689
2233	DB09008
2236	DB00456
2238	DB01139
2239	DB01333
2286	DB11073
2323	DB06777
2344	DB01563
2346	DB00291
2348	DB00446
2353	DB00628
2354	DB08936
2356	DB00475
2358	DB00878
2368	DB19358
2369	DB15903
2371	DB00534
2372	DB06470
2373	DB01178
2378	DB11386
2382	DB01131
2393	DB00608
2396	DB00880
2397	DB00269
2399	DB00856
2400	DB01114
2402	DB01556
2403	DB00477
2404	DB00672
2406	DB01239
2407	DB13306
2408	DB09093
2409	DB00310
2410	DB00356
2418	DB00169
2420	DB08862
2425	DB11643
2427	DB14443
2438	DB04540
2447	DB01432
2449	DB00122
2473	DB09301
2496	DB11136
2508	DB13279
2525	DB06752
2530	DB09375
2531	DB09375
2540	DB01597
2541	DB00501
2549	DB00568
2550	DB00827
2551	DB00537
2555	DB00515
